Subsector,simulation,Edgar_value,diff,Year,diff_percentage
soil,1.14210672973435,0.092259474,11.379289412969664,2015,1137.9289412969663
lndu,0.6854093059201447,0.060839526,10.26585545587822,2015,1026.585545587822
ippu,11.167587620340276,3.883217362,1.875859520412877,2015,187.5859520412877
scoe,7.547604399871569,3.24769707,1.3239865779327655,2015,132.39865779327656
entc,6.886826561611618,3.312946055,1.0787620586872544,2015,107.87620586872544
inen,4.069752730549331,2.157340123,0.8864678254302933,2015,88.64678254302933
agrc,1.7785607699567991,1.13413896,0.5682035735345864,2015,56.82035735345864
trww,0.6652863949823666,0.503173252,0.3221815594092165,2015,32.21815594092165
lvst,1.938987803925,1.682915592,0.1521598665686376,2015,15.215986656863759
waso,1.300747367357886,1.2586895036,0.0334140100776209,2015,3.3414010077620895
trns,2.836912017592939,5.9581787,-0.5238625492060286,2015,-52.38625492060286
fgtv,0.8135935633587907,2.441121387,-0.6667131885814777,2015,-66.67131885814777
frst,-1.12052259461516,-6.547103826,-0.828852172747694,2015,-82.8852172747694
lsmm,0.2062547877728376,1.793108218,-0.884973597409034,2015,-88.4973597409034
